Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
1,hoseo,ganbat,,55.0,1950,0,nass
2,tremendous,hofer,,54.5,1950,0,nass
3,princess dumont,danz,,51.0,1950,0,nass
4,be my lion,wagner,,56.0,1950,0,nass
5,capricornus,wandt,,53.5,1950,0,nass
6,anoro,richter,,52.0,1950,0,nass
7,beach babe,pecheur,,57.0,1950,0,nass
8,lacado,laznovska,,58.0,1950,0,nass
9,look out,hellyn,,55.0,1950,0,nass
10,nardo (ire),lopez,,60.0,1950,0,nass
11,world cup,bohl,,61.5,1950,0,nass
12,renoir,bojko,,54.0,1950,0,nass
13,lollobo,seidl,,57.0,1950,0,nass
1,pussycat doll,ganbat,,56.5,1700,0,nass
2,la next,starke,,59.0,1700,0,nass
3,sinfonie,bojko,,59.0,1700,0,nass
4,pretty man,beckmann,,51.0,1700,0,nass
5,winterkönig,danz,,62.5,1700,0,nass
6,cioccomia,wagner,,60.0,1700,0,nass
7,crespo,laznovska,,61.0,1700,0,nass
8,frau luna,werning,,55.5,1700,0,nass
9,theetjen,richter,,54.0,1700,0,nass
10,flying encore,pecheur,,54.0,1700,0,nass
11,papageno,best,,54.0,1700,0,nass
12,clivia,hofer,,54.0,1700,0,nass
13,lonesome,seidl,,58.5,1700,0,nass
1,capitain rodgers,murke,,57.5,2500,0,nass
2,ami rouge,seidl,,54.5,2500,0,nass
3,la padrona,best,,59.5,2500,0,nass
4,al punto,hofer,,60.0,2500,0,nass
5,decado,bojko,,53.0,2500,0,nass
6,daring rudolph,wandt,,63.0,2500,0,nass
7,blue princesse,danz,,55.0,2500,0,nass
8,kepheus,ganbat,,59.5,2500,0,nass
9,gizmo,hellyn,,54.0,2500,0,nass
10,cool arrogance,pecheur,,60.0,2500,0,nass
1,pantella,oppermann,,56.5,1100,0,nass
2,mishtaag (gb),hofer,,60.5,1100,0,nass
3,sturmwolke,fleißner,,60.5,1100,0,nass
4,destivo,richter,,57.5,1100,0,nass
5,cool eagle,wandt,,53.0,1100,0,nass
6,silberlinde,weißmeier,,62.5,1100,0,nass
7,madayan,bojko,,55.0,1100,0,nass
1,killusty fancy,ganbat,,57.0,2300,0,nass
2,jolie fille,glomba,,56.0,2300,0,nass
3,twin star,hofer,,56.0,2300,0,nass
4,mombasa,schiergen,,56.0,2300,0,nass
5,pont de normandie,hellyn,,53.0,2300,0,nass
6,chachani,best,,56.0,2300,0,nass
